Figure 8,Survival after 137Cs irradiation,,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,,,,,,
B013047,7/29/98,B013051,7/29/98,187,192,179,186.00,,,,,,
Exp 1,,B013051,7/29/98,82,74,91,82.33,,,,,,
137Cs acute,,B013051,7/29/98,10,12,15,12.33,,,,,,
down triangles,,B013051,7/29/98,23,21,27,23.67,,,,,,
,,B013051,7/29/98,7,8,5,6.67,,,,,,
,,B013051,7/29/98,31,43,50,41.33,,,,,,
,,B013051,7/29/98,10,8,7,8.33,,,,,,
,,B013051,7/29/98,4,3,2,3.00,,,,,,
B013037,8/11/98,B013041,no date,134,133,128,131.67,,,,,,
Exp 2,,B013041,no date,52,47,40,46.33,,,,,,
137Cs acute,,B013041,no date,18,15,13,15.33,,,,,,
down triangles,,B013041,no date,9,10,11,10.00,,,,,,
