Figure 4,Survival after 117mSn injection,,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,,,,,,
B012904,8/28/98,B012909,no date,144,131,137,137.33,,,,,,
Exp 3,open circles,B012909,no date,122,131,136,129.67,,,,,,
,,B012909,no date,123,115,109,115.67,,,,,,
,,B012909,no date,111,105,117,111.00,,,,,,
,,B012909,no date,98,93,96,95.67,,,,,,
B012859,9/2/98,B012863,no date,162,155,149,155.33,,,,,,
Exp 4,closed circle,B012863,no date,138,117,127,127.33,,,,,,
B012854,9/18/98,B012858,no date,133,127,126,128.67,,,,,,
Exp 5,triangle,B012858,no date,19,13,22,18.00,,,,,,
B012898,9/24/98,B012903,10/8/98,169,172,159,166.67,,,,,,
Exp 6,diamonds,B012903,10/8/98,156,149,160,155.00,,,,,,
117mSn,,B012903,10/8/98,80,88,95,87.67,,,,,,
,,B012903,10/8/98,33,47,41,40.33,,,,,,
,,B012903,10/8/98,34,23,21,26.00,,,,,,
,,B012903,10/8/98,20,14,15,16.33,,,,,,
B012893,9/25/98,B012897,10/9/98,126,109,126,120.33,,,,,,
Exp 7,squares,B012897,10/9/98,107,119,98,108.00,,,,,,
117mSn,,B012897,10/9/98,54,63,58,58.33,,,,,,
,,B012897,10/9/98,34,26,31,30.33,,,,,,
,,B012897,10/9/98,26,20,20,22.00,,,,,,
,,B012897,10/9/98,31,43,53,42.33,,,,,,
,,,,,,,,,,,,,
