Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,,,,
B013047,7/29/98,B013051,7/29/98,187,192,179,186.00,B013050,no date,2264,2118,2205,2195.67,,,,
Exp 1,,B013051,7/29/98,82,74,91,82.33,B013050,no date,533,551,535,539.67,,,,
137Cs acute,,B013051,7/29/98,10,12,15,12.33,B013050,no date,3376,3344,3256,3325.33,,,,
,,B013051,7/29/98,23,21,27,23.67,,,,,,,,,,
,,B013051,7/29/98,7,8,5,6.67,,,,,,,,,,
,,B013051,7/29/98,31,43,50,41.33,,,,,,,,,, 
,,B013051,7/29/98,10,8,7,8.33,,,,,,,,,,
,,B013051,7/29/98,4,3,2,3.00,,,,,,,,,,
B013037,8/11/98,B013041,no date,134,133,128,131.67,B013042,no date,3382,3234,3202,3272.67,,,,
Exp 2,,B013041,no date,52,47,40,46.33,B013042,no date,2717,2600,2620,2645.67,,,,
137Cs acute,,B013041,no date,18,15,13,15.33,B013042,no date,3810,3745,3719,3758.00,,,,
,,B013041,no date,9,10,11,10.00,B013042,no date,4507,4409,4419,4445.00,,,,
B012904,8/28/98,B012909,no date,144,131,137,137.33,B012907,no date,5110,5125,5213,5149.33,,,,
Exp 3,,B012909,no date,122,131,136,129.67,B012907,no date,5007,5107,5123,5079.00,,,,
117mSn,,B012909,no date,123,115,109,115.67,B012907,no date,4813,4918,4975,4902.00,,,,
,,B012909,no date,111,105,117,111.00,B012907,no date,4439,4556,4579,4524.67,,,,
,,B012909,no date,98,93,96,95.67,B012907,no date,4322,4429,4372,4374.33,,,,
B012859,9/2/98,B012863,no date,162,155,149,155.33,B012862,no date,4070,4120,4175,4121.67,,,,
Exp 4,,B012863,no date,145,136,124,135.00,B012862,no date,2861,2770,2740,2790.33,,,,
117mSn,,B012863,no date,138,117,127,127.33,B012862,no date,2325,2340,2318,2327.67,,,,
,,B012863,no date,132,147,140,139.67,B012862,no date,3305,3297,3291,3297.67,,,,
B012854,9/18/98,B012858,no date,133,127,126,128.67,B012857,no date,7786,7540,7677,7667.67,,,,
Exp 5,,B012858,no date,109,123,129,120.33,B012857,no date,6682,6639,6907,6742.67,,,,
117mSn,,B012858,no date,47,56,46,49.67,B012857,no date,2841,2755,2699,2765.00,,,,
,,B012858,no date,19,13,22,18.00,B012857,no date,2842,2855,2811,2836.00,,,,
,,B012858,no date,27,26,20,24.33,B012857,no date,3561,3647,3466,3558.00,,,,
B012898,9/24/98,B012903,10/8/98,169,172,159,166.67,B012902,no date,5504,5457,5442,5467.67,,,,
Exp 6,,B012903,10/8/98,156,149,160,155.00,B012902,no date,4553,4591,4454,4532.67,,,,
117mSn,,B012903,10/8/98,80,88,95,87.67,B012902,no date,3616,3360,3327,3434.33,,,,
,,B012903,10/8/98,33,47,41,40.33,B012902,no date,2823,2894,2891,2869.33,,,,
,,B012903,10/8/98,34,23,21,26.00,B012902,no date,2141,2114,2198,2151.00,,,,
,,B012903,10/8/98,20,14,15,16.33,B012902,no date,2344,2289,2201,2278.00,,,,
B012893,9/25/98,B012897,10/9/98,126,109,126,120.33,B012896,no date,6394,6298,6309,6333.67,,,,
Exp 7,,B012897,10/9/98,107,119,98,108.00,B012896,no date,6256,6082,6272,6203.33,,,,
117mSn,,B012897,10/9/98,54,63,58,58.33,B012896,no date,4104,4076,3986,4055.33,,,,
,,B012897,10/9/98,34,26,31,30.33,B012896,no date,2993,3056,2949,2999.33,,,,
,,B012897,10/9/98,26,20,20,22.00,B012896,no date,2691,2485,2510,2562.00,,,,
,,B012897,10/9/98,31,43,53,42.33,B012896,no date,1151,1142,1156,1149.67,,,,
B012985,9/29/98,B012989,no date,90,83,92,88.33,B012987,no date,6510,6439,6552,6500.33,,,,
Exp 8,,B012989,no date,111,89,106,102.00,B012987,no date,8013,8060,8091,8054.67,,,,
137Cs chronic,,B012989,no date,30,32,27,29.67,B012987,no date,3379,3183,3272,3278.00,,,,
,,B012989,no date,21,18,21,20.00,B012987,no date,4480,4372,4497,4449.67,,,,
,,B012989,no date,36,40,36,37.33,B012987,no date,3423,3524,3374,3440.33,,,,
,,B012989,no date,64,64,58,62.00,B012987,no date,5222,5024,5003,5083.00,,,,
B012963,10/7/98,B012967,10/21/98,112,114,112,112.67,B012965,no date,3830,3833,3740,3801.00,,,,
Exp 9,,B012967,10/21/98,131,141,147,139.67,B012965,no date,5729,5881,5876,5828.67,,,,
137Cs chronic,,B012967,10/21/98,30,42,28,33.33,B012965,no date,2568,2444,2384,2465.33,,,,
,,B012967,10/21/98,36,45,42,41.00,B012965,no date,5224,5234,5053,5170.33,,,,
,,B012967,10/21/98,52,47,39,46.00,B012965,no date,3412,3363,3374,3383.00,,,,
,,B012967,10/21/98,66,78,85,76.33,B012965,no date,3116,3086,3028,3076.67,,,,
,,,,,,,,,,,,,,,,,
