Figure 1 3HdThd 100% +DMSO Closed Circles,,,,,Investigator is Bishayee,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B001629,11/11/99,B001642,11/22/99,102,96,108,102.00,B001635,11/12/99,589,608,570,589.00,
,,B001642,11/22/99,90,88,94,90.67,B001635,11/12/99,617,624,607,616.00,
,,B001642,11/22/99,81,98,89,89.33,B001635,11/12/99,575,595,606,592.00,
,,B001642,11/22/99,79,81,85,81.67,B001635,11/12/99,512,514,536,520.67,
,,B001642,11/22/99,72,69,74,71.67,B001635,11/12/99,588,566,568,574.00,
,,B001642,11/22/99,59,53,51,54.33,B001635,11/12/99,545,529,520,531.33,
,,B001642,11/22/99,293,283,299,291.67,B001635,11/12/99,494,463,445,467.33,
,,B001642,11/22/99,103,111,106,106.67,B001635,11/12/99,504,480,479,487.67,
,,B001642,11/22/99,54,63,50,55.67,B001635,11/12/99,491,479,491,487.00,
,,B001642,11/22/99,55,57,44,52.00,B001635,11/12/99,416,429,420,421.67,
,,,,,,,,B001635,11/15/99,511,490,485,495.33,
,,,,,,,,B001635,11/15/99,507,482,499,496.00,
,,,,,,,,B001635,11/15/99,573,548,566,562.33,
,,,,,,,,B001635,11/15/99,563,574,558,565.00,
,,,,,,,,B001635,11/15/99,493,483,472,482.67,
,,,,,,,,B001635,11/15/99,456,440,465,453.67,
,,,,,,,,B001635,11/15/99,459,429,431,439.67,
,,,,,,,,B001635,11/15/99,411,419,395,408.33,
,,,,,,,,B001635,11/15/99,385,399,379,387.67,
,,,,,,,,B001635,11/15/99,339,350,341,343.33,
B001619,12/6/99,B001628,12/17/99,135,149,151,145.00,B001627,12/10/99,756,742,769,755.67,
,,B001628,12/17/99,141,129,137,135.67,B001627,12/10/99,701,695,714,703.33,
,,B001628,12/17/99,123,117,112,117.33,B001627,12/10/99,649,661,639,649.67,
,,B001628,12/17/99,73,82,92,82.33,B001627,12/10/99,852,829,840,840.33,
,,B001628,12/17/99,23,26,20,23.00,B001627,12/10/99,633,615,609,619.00,
,,B001628,12/17/99,39,50,42,43.67,B001627,12/10/99,719,709,715,714.33,
,,B001628,12/17/99,99,112,88,99.67,B001627,12/10/99,695,727,711,711.00,
B001608,1/10/00,B001618,1/21/00,132,142,129,134.33,B001617,1/14/00,513,522,530,521.67,
,,B001618,1/21/00,140,128,131,133.00,B001617,1/14/00,501,511,507,506.33,
,,B001618,1/21/00,113,120,128,120.33,B001617,1/14/00,475,465,470,470.00,
,,B001618,1/21/00,77,83,90,83.33,B001617,1/14/00,495,489,512,498.67,
,,B001618,1/21/00,13,16,20,16.33,B001617,1/14/00,445,439,452,445.33,
,,B001618,1/21/00,43,51,60,51.33,B001617,1/14/00,432,418,420,423.33,
,,B001618,1/21/00,80,90,71,80.33,B001617,1/14/00,455,429,439,441.00,
,,,,,,,,,,,,,,
