Figure 1 3HdThd 100% suspension Squares,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B001715,12/16/99,B001726,12/29/99,175,185,181,180.33,B001724,12/20/99,750,767,739,752.00
,,B001726,12/29/99,169,173,160,167.33,B001724,12/20/99,789,772,769,776.67
,,B001726,12/29/99,51,56,62,56.33,B001724,12/20/99,721,719,710,716.67
,,B001726,12/29/99,112,104,119,111.67,B001724,12/20/99,630,666,639,645.00
,,B001726,12/29/99,75,87,64,75.33,B001724,12/20/99,612,631,645,629.33
,,B001726,12/29/99,27,35,44,35.33,B001724,12/20/99,565,574,591,576.67
,,B001726,12/29/99,9,14,20,14.33,B001724,12/20/99,638,610,580,609.33
B001704,1/3/00,B001714,no  date,142,138,132,137.33,B001711,1/7/00,423,443,437,434.33
,,B001714,no  date,131,129,119,126.33,B001711,1/7/00,383,367,385,378.33
,,B001714,no  date,36,44,51,43.67,B001711,1/7/00,375,379,408,387.33
,,B001714,no  date,18,26,37,27.00,B001711,1/7/00,401,398,399,399.33
,,B001714,no  date,40,47,34,40.33,B001711,1/7/00,345,365,340,350.00
,,B001714,no  date,132,139,118,129.67,B001711,1/7/00,395,367,385,382.33
,,B001714,no  date,20,16,13,16.33,B001711,1/7/00,436,449,458,447.67
