Figure 2A  3HdThd 50% no additions circles,,,,,,Investigator is Bishayee,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008243,12/28/98,B008253,,,,,,B008252,1/1/99,518,550,569,545.67
,,B008253,1/8/99,99,89,91,93.00,B008252,1/1/99,482,500,501,494.33
,,B008253,1/8/99,80,74,68,74.00,B008252,1/1/99,458,485,510,484.33
,,B008253,1/8/99,65,71,59,65.00,B008252,1/1/99,541,483,488,504.00
,,B008253,1/8/99,40,48,57,48.33,B008252,1/1/99,531,525,523,526.33
,,B008253,1/8/99,39,34,37,36.67,B008252,1/1/99,609,657,652,639.33
,,B008253,1/8/99,28,26,23,25.67,B008252,1/1/99,506,524,485,505.00
,,B008253,1/8/99,102,110,92,101.33,B008252,1/1/99,432,440,428,433.33
,,B008253,1/8/99,33,47,40,40.00,B008252,1/1/99,497,453,507,485.67
,,B008253,1/8/99,90,84,79,84.33,B008252,1/1/99,453,475,508,478.67
B008233,1/11/99,B008242,1/22/99,145,139,121,135.00,B008241,1/15/99,488,482,478,482.67
,,B008242,1/22/99,129,119,137,128.33,B008241,1/15/99,510,472,463,481.67
,,B008242,1/22/99,130,135,124,129.67,B008241,1/15/99,517,505,506,509.33
,,B008242,1/22/99,125,115,109,116.33,B008241,1/15/99,468,458,455,460.33
,,B008242,1/22/99,95,101,107,101.00,B008241,1/15/99,528,527,524,526.33
,,B008242,1/22/99,85,92,78,85.00,B008241,1/15/99,622,648,609,626.33
,,B008242,1/22/99,59,69,78,68.67,B008241,1/15/99,442,422,432,432.00
,,B008242,1/22/99,49,58,67,58.00,B008241,1/15/99,467,438,438,447.67
,,B008242,1/22/99,38,44,33,38.33,B008241,1/15/99,481,452,522,485.00
,,B008242,1/22/99,100,95,106,100.33,B008241,1/15/99,487,516,482,495.00
B008222,11/4/99,B008230,11/15/99,156,166,149,157.00,B008230,11/15/99,411,427,437,425.00
,,B008230,11/15/99,139,149,152,146.67,B008230,11/15/99,520,545,539,534.67
,,B008230,11/15/99,137,146,157,146.67,B008230,11/15/99,535,521,552,536.00
,,B008230,11/15/99,145,131,138,138.00,B008230,11/15/99,482,493,475,483.33
,,B008230,11/15/99,137,126,116,126.33,B008230,11/15/99,436,427,419,427.33
,,B008230,11/15/99,115,112,130,119.00,B008230,11/15/99,501,492,485,492.67
,,B008230,11/15/99,95,102,88,95.00,B008230,11/15/99,562,550,572,561.33
,,B008230,11/15/99,68,87,76,77.00,B008230,11/15/99,449,462,475,462.00
,,B008230,11/15/99,68,77,72,72.33,B008230,11/15/99,555,579,567,567.00
,,B008230,11/15/99,40,32,24,32.00,B008230,11/15/99,409,399,417,408.33
B008154,1/13/00,B008163,no date,165,160,179,168.00,B008162,no date,575,549,562,562.00
,,B008163,no date,160,149,152,153.67,B008162,no date,492,488,475,485.00
,,B008163,no date,48,56,62,55.33,B008162,no date,511,501,493,501.67
,,B008163,no date,27,33,40,33.33,B008162,no date,562,549,537,549.33
,,B008163,no date,15,17,19,17.00,B008162,no date,589,599,582,590.00
,,B008163,no date,19,26,32,25.67,B008162,no date,575,565,559,566.33
,,B008163,no date,1,2,1,1.33,B008162,no date,670,665,669,668.00
B008144,1/20/00,B008153,no date,169,152,160,160.33,B008152,no date,601,609,611,607.00
,,B008153,no date,142,138,129,136.33,B008152,no date,551,561,571,561.00
,,B008153,no date,95,104,114,104.33,B008152,no date,569,557,547,557.67
,,B008153,no date,35,44,54,44.33,B008152,no date,529,535,542,535.33
,,B008153,no date,60,68,53,60.33,B008152,no date,565,570,568,567.67
,,B008153,no date,60,67,52,59.67,B008152,no date,582,592,579,584.33
,,B008153,no date,11,7,5,7.67,B008152,no date,575,562,555,564.00
