Figure 2A  3HdThd 50% + DMSO Diamonds,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008189,3/29/99,B008197,4/9/99,140,155,159,151.33,B008196,4/2/99,415,425,455,431.67
,,B008197,4/9/99,132,139,149,140.00,B008196,4/2/99,399,410,388,399.00
,,B008197,4/9/99,131,129,125,128.33,B008196,4/2/99,436,407,411,418.00
,,B008197,4/9/99,152,147,130,143.00,B008196,4/2/99,382,375,365,374.00
,,B008197,4/9/99,116,126,107,116.33,B008196,4/2/99,389,390,382,387.00
,,B008197,4/9/99,104,112,96,104.00,B008196,4/2/99,450,427,439,438.67
,,B008197,4/9/99,75,86,97,86.00,B008196,4/2/99,407,422,419,416.00
,,B008197,4/9/99,73,80,66,73.00,B008196,4/2/99,432,452,429,437.67
,,B008197,4/9/99,47,56,65,56.00,B008196,4/2/99,375,355,362,364.00
,,B008197,4/9/99,32,37,42,37.00,B008196,4/2/99,388,399,409,398.67
B008172,5/3/99,B008182,5/14/99,122,135,119,125.33,B008181,5/7/99,425,435,420,426.67
,,B008182,5/14/99,140,129,137,135.33,B008181,5/7/99,510,490,475,491.67
,,B008182,5/14/99,120,125,131,125.33,B008181,5/7/99,405,375,395,391.67
,,B008182,5/14/99,104,111,97,104.00,B008181,5/7/99,452,437,414,434.33
,,B008182,5/14/99,93,100,88,93.67,B008181,5/7/99,358,372,360,363.33
,,B008182,5/14/99,82,88,93,87.67,B008181,5/7/99,411,419,432,420.67
,,B008182,5/14/99,70,79,89,79.33,B008181,5/7/99,437,465,422,441.33
,,B008182,5/14/99,48,61,54,54.33,B008181,5/7/99,375,365,392,377.33
,,B008182,5/14/99,30,35,41,35.33,B008181,5/7/99,419,402,398,406.33
,,B008182,5/14/99,16,20,25,20.33,B008181,5/7/99,399,412,375,395.33
B008164,5/17/99,B008171,no date,140,135,129,134.67,B008170,5/21/99,475,465,439,459.67
,,B008171,no date,119,137,121,125.67,B008170,5/21/99,501,512,522,511.67
,,B008171,no date,122,127,135,128.00,B008170,5/21/99,529,475,495,499.67
,,B008171,no date,95,110,103,102.67,B008170,5/21/99,395,425,430,416.67
,,B008171,no date,86,96,106,96.00,B008170,5/21/99,520,539,540,533.00
,,B008171,no date,74,96,85,85.00,B008170,5/21/99,427,439,444,436.67
,,B008171,no date,43,50,57,50.00,B008170,5/21/99,402,422,435,419.67
,,B008171,no date,43,32,22,32.33,B008170,5/21/99,511,529,535,525.00
,,B008171,no date,18,26,21,21.67,B008170,5/21/99,478,459,465,467.33
,,B008171,no date,103,123,114,113.33,B008170,5/21/99,395,378,385,386.00
B008144,1/20/00,B008153,no date,140,148,137,141.67,B008152,no date,575,566,569,570.00
,,B008153,no date,161,152,157,156.67,B008152,no date,582,572,568,574.00
,,B008153,no date,105,112,120,112.33,B008152,no date,595,582,601,592.67
,,B008153,no date,67,72,63,67.33,B008152,no date,555,565,549,556.33
,,B008153,no date,13,20,16,16.33,B008152,no date,579,599,582,586.67
,,B008153,no date,24,37,30,30.33,B008152,no date,611,623,607,613.67
,,B008153,no date,38,43,49,43.33,B008152,no date,635,619,622,625.33
