Figure 2A  3HdThd 50% +  Lindane Squares,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008095,2/15/99,B008104,2/26/99,129,131,120,126.67,B008103,2/19/99,645,677,655,659.00
,,B008104,2/26/99,115,109,117,113.67,B008103,2/19/99,611,620,637,622.67
,,B008104,2/26/99,111,115,120,115.33,B008103,2/19/99,677,689,667,677.67
,,B008104,2/26/99,103,113,94,103.33,B008103,2/19/99,707,699,701,702.33
,,B008104,2/26/99,89,94,100,94.33,B008103,2/19/99,635,649,617,633.67
,,B008104,2/26/99,66,75,85,75.33,B008103,2/19/99,690,681,678,683.00
,,B008104,2/26/99,56,63,70,63.00,B008103,2/19/99,660,670,652,660.67
,,B008104,2/26/99,53,58,64,58.33,B008103,2/19/99,601,622,634,619.00
,,B008104,2/26/99,54,56,53,54.33,B008103,2/19/99,640,656,654,650.00
,,B008104,2/26/99,38,46,55,46.33,B008103,2/19/99,685,695,690,690.00
B008085,2/18/99,B008094,3/1/99,145,137,129,137.00,B008093,2/22/99,760,747,730,745.67
,,B008094,3/1/99,121,115,135,123.67,B008093,2/22/99,745,744,736,741.67
,,B008094,3/1/99,116,125,134,125.00,B008093,2/22/99,690,701,685,692.00
,,B008094,3/1/99,108,114,119,113.67,B008093,2/22/99,712,722,735,723.00
,,B008094,3/1/99,98,107,117,107.33,B008093,2/22/99,747,765,742,751.33
,,B008094,3/1/99,80,90,99,89.67,B008093,2/22/99,675,665,681,673.67
,,B008094,3/1/99,78,84,90,84.00,B008093,2/22/99,640,655,631,642.00
,,B008094,3/1/99,61,70,78,69.67,B008093,2/22/99,672,662,652,662.00
,,B008094,3/1/99,65,75,56,65.33,B008093,2/22/99,719,725,707,717.00
,,B008094,3/1/99,37,27,48,37.33,B008093,2/22/99,790,811,795,798.67
B008053,1/31/00,B008063,no date,170,158,162,163.33,B008062,no date,701,709,713,707.67
,,B008063,no date,147,156,160,154.33,B008062,no date,675,667,658,666.67
,,B008063,no date,92,109,100,100.33,B008062,no date,635,611,623,623.00
,,B008063,no date,64,69,77,70.00,B008062,no date,685,670,693,682.67
,,B008063,no date,26,35,45,35.33,B008062,no date,711,729,730,723.33
,,B008063,no date,12,15,20,15.67,B008062,no date,721,735,749,735.00
,,B008063,no date,24,32,41,32.33,B008062,no date,735,759,750,748.00
