Figure 2B  3HdThd10% + DMSO Diamonds,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008000,7/12/99,B008008,7/23/99,125,132,119,125.33,B008007,7/16/99,505,519,529,517.67
,,B008008,7/23/99,145,130,125,133.33,B008007,7/16/99,485,495,480,486.67
,,B008008,7/23/99,116,125,135,125.33,B008007,7/16/99,476,510,498,494.67
,,B008008,7/23/99,99,106,113,106.00,B008007,7/16/99,415,435,422,424.00
,,B008008,7/23/99,89,100,112,100.33,B008007,7/16/99,509,517,511,512.33
,,B008008,7/23/99,99,84,91,91.33,B008007,7/16/99,435,419,410,421.33
,,B008008,7/23/99,72,90,81,81.00,B008007,7/16/99,456,444,429,443.00
,,B008008,7/23/99,67,73,80,73.33,B008007,7/16/99,411,409,425,415.00
,,B008008,7/23/99,75,82,68,75.00,B008007,7/16/99,449,421,439,436.33
,,B008008,7/23/99,50,41,32,41.00,B008007,7/16/99,385,412,375,390.67
B007990,7/22/99,B007999,8/2/99,135,122,119,125.33,B007998,7/26/99,728,711,735,724.67
,,B007999,8/2/99,118,107,129,118.00,B007998,7/26/99,750,741,721,737.33
,,B007999,8/2/99,113,103,92,102.67,B007998,7/26/99,810,833,809,817.33
,,B007999,8/2/99,101,93,86,93.33,B007998,7/26/99,755,762,748,755.00
,,B007999,8/2/99,76,82,70,76.00,B007998,7/26/99,697,712,688,699.00
,,B007999,8/2/99,38,29,47,38.00,B007998,7/26/99,735,755,765,751.67
,,B007999,8/2/99,16,21,26,21.00,B007998,7/26/99,772,762,781,771.67
,,B007999,8/2/99,98,107,88,97.67,B007998,7/26/99,819,822,835,825.33
,,B007999,8/2/99,18,21,25,21.33,B007998,7/26/99,727,709,742,726.00
,,B007999,8/2/99,31,25,20,25.33,B007998,7/26/99,856,869,888,871.00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
