Figure 1,Dose Modification versus DMSO Conc,,,,Investigator for all is Bishayee,,,,,,,,,,
Start Bates,Start Date,Radio-Chem,Symbol,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008319,3/9/98,131IUdR,diamond,B008328,3/20/98,119,125,117,120.33,B008326,3/13/98,1398,1378,1344,1373.33
,,,,B008328,3/20/98,135,139,130,134.67,B008326,3/13/98,1486,1469,1463,1472.67
,,,,B008328,3/20/98,84,85,96,88.33,B008326,3/13/98,1472,1553,1473,1499.33
,,,,B008328,3/20/98,79,78,78,78.33,B008326,3/13/98,1671,1696,1651,1672.67
,,,,B008328,3/20/98,71,63,65,66.33,B008326,3/13/98,1613,1622,1588,1607.67
,,,,B008328,3/20/98,59,54,47,53.33,B008326,3/13/98,1823,1832,1845,1833.33
,,,,B008328,3/20/98,69,75,71,71.67,B008326,3/13/98,1695,1651,1708,1684.67
,,,,B008328,3/20/98,130,127,133,130.00,B008326,3/13/98,1568,1593,1551,1570.67
,,,,B008328,3/20/98,99,111,101,103.67,B008326,3/13/98,1692,1663,1709,1688.00
,,,,B008328,3/20/98,33,38,37,36.00,B008326,3/13/98,1562,1525,1540,1542.33
B008307,3/23/98,131IUdR,diamond,B008315,4/3/98,95,105,119,106.33,B008314,3/27/98,464,461,449,458.00
,,,,B008315,4/3/98,121,116,125,120.67,B008314,3/27/98,488,512,479,493.00
,,,,B008315,4/3/98,90,88,82,86.67,B008314,3/27/98,617,609,619,615.00
,,,,B008315,4/3/98,80,72,76,76.00,B008314,3/27/98,664,668,651,661.00
,,,,B008315,4/3/98,72,68,65,68.33,B008314,3/27/98,647,654,632,644.33
,,,,B008315,4/3/98,110,106,112,109.33,B008314,3/27/98,587,572,569,576.00
,,,,B008315,4/3/98,183,178,172,177.67,B008314,3/27/98,687,689,617,664.33
,,,,B008315,4/3/98,220,216,230,222.00,B008314,3/27/98,626,595,624,615.00
,,,,B008315,4/3/98,195,199,211,201.67,B008314,3/27/98,640,622,606,622.67
,,,,B008315,4/3/98,127,121,129,125.67,B008314,3/27/98,645,652,628,641.67
B002335,4/20/98,125IUdR,circle,B002346,5/1/98,149,152,165,155.33,B002345,4/24/98,776,760,711,749.00
,,,,B002346,5/1/98,150,150,152,150.67,B002345,4/24/98,701,667,684,684.00
,,,,B002346,5/1/98,130,132,122,128.00,B002345,4/24/98,695,711,690,698.67
,,,,B002346,5/1/98,106,113,105,108.00,B002345,4/24/98,725,750,759,744.67
,,,,B002346,5/1/98,95,100,105,100.00,B002345,4/24/98,878,892,868,879.33
,,,,B002346,5/1/98,82,81,78,80.33,B002345,4/24/98,719,688,661,689.33
,,,,B002346,5/1/98,95,93,91,93.00,B002345,4/24/98,704,702,755,720.33
,,,,B002346,5/1/98,140,142,138,140.00,B002345,4/24/98,772,780,744,765.33
,,,,B002346,5/1/98,160,164,158,160.67,B002345,4/24/98,664,636,612,637.33
,,,,B002346,5/1/98,95,93,98,95.33,B002345,4/24/98,835,806,810,817.00
B002320,5/4/98,125IUdR,circle,B002331,5/15/98,125,129,128,127.33,B002330,5/8/98,570,584,588,580.67
,,,,B002331,5/15/98,110,122,130,120.67,B002330,5/8/98,734,654,715,701.00
,,,,B002331,5/15/98,105,100,113,106.00,B002330,5/8/98,593,527,549,556.33
,,,,B002331,5/15/98,90,89,99,92.67,B002330,5/8/98,531,478,468,492.33
,,,,B002331,5/15/98,74,78,82,78.00,B002330,5/8/98,668,601,639,636.00
,,,,B002331,5/15/98,90,92,82,88.00,B002330,5/8/98,668,717,727,704.00
,,,,B002331,5/15/98,98,90,89,92.33,B002330,5/8/98,542,552,526,540.00
,,,,B002331,5/15/98,120,130,140,130.00,B002330,5/8/98,737,703,696,712.00
,,,,B002331,5/15/98,189,179,195,187.67,B002330,5/8/98,471,411,401,427.67
,,,,B002331,5/15/98,129,120,118,122.33,B002330,5/8/98,531,535,503,523.00
B014140,6/29/98,3H2O,triangle,B014149,7/10/98,185,170,178,177.67,B014148,7/3/98,821,850,830,833.67
,,,,B014149,7/10/98,190,214,203,202.33,B014148,7/3/98,865,832,834,843.67
