Figure 2,3H2O +/- DMSO,,Investigator for all is Bishayee,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B014166,6/22/98,14175,7/3/98,180,189,176,181.67,B014174,6/26/98,781,730,765,758.67
fig 2 A,,14175,7/3/98,190,182,193,188.33,B014174,6/26/98,695,687,726,702.67
,,14175,7/3/98,144,150,138,144.00,B014174,6/26/98,677,672,633,660.67
,,14175,7/3/98,82,89,73,81.33,B014174,6/26/98,698,695,702,698.33
,,14175,7/3/98,39,42,35,38.67,B014174,6/26/98,833,865,865,854.33
,,14175,7/3/98,210,204,196,203.33,B014174,6/26/98,591,612,625,609.33
,,14175,7/3/98,215,210,199,208.00,B014174,6/26/98,752,770,787,769.67
,,14175,7/3/98,51,61,42,51.33,B014174,6/26/98,593,580,597,590.00
,,14175,7/3/98,120,127,113,120.00,B014174,6/26/98,659,651,658,656.00
,,14175,7/3/98,168,161,152,160.33,B014174,6/26/98,659,618,636,637.67
B014156,7/13/98,14164,7/24/98,161,169,153,161.00,B014162,7/17/98,636,607,620,621.00
fig 2 B,,14164,7/24/98,150,149,156,151.67,B014162,7/17/98,669,675,659,667.67
,,14164,7/24/98,117,120,113,116.67,B014162,7/17/98,712,680,722,704.67
,,14164,7/24/98,78,70,82,76.67,B014162,7/17/98,960,1040,1021,1007.00
,,14164,7/24/98,40,45,36,40.33,B014162,7/17/98,1170,1243,1077,1163.33
,,14164,7/24/98,140,141,152,144.33,B014162,7/17/98,1263,1191,1202,1218.67
,,14164,7/24/98,139,141,143,141.00,B014162,7/17/98,861,842,806,836.33
,,14164,7/24/98,57,50,64,57.00,B014162,7/17/98,1219,1249,1269,1245.67
,,14164,7/24/98,180,188,196,188.00,B014162,7/17/98,880,880,866,875.33
,,14164,7/24/98,244,240,248,244.00,B014162,7/17/98,1279,1266,1220,1255.00
