Figure 3,131IdU +/- DMSO,,Investigator for all is Bishayee,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008297,8/17/98,B008305,8/28/98,101,92,93,95.33,B008304,8/21/98,514,536,490,513.33
,,B008305,8/28/98,89,95,99,94.33,B008304,8/21/98,626,606,612,614.67
,,B008305,8/28/98,60,66,73,66.33,B008304,8/21/98,781,634,652,689.00
,,B008305,8/28/98,24,28,25,25.67,B008304,8/21/98,505,517,482,501.33
,,B008305,8/28/98,157,148,165,156.67,B008304,8/21/98,511,492,482,495.00
,,B008305,8/28/98,110,108,102,106.67,B008304,8/21/98,620,602,614,612.00
,,B008305,8/28/98,120,112,107,113.00,B008304,8/21/98,588,578,569,578.33
,,B008305,8/28/98,40,51,29,40.00,B008304,8/21/98,556,536,521,537.67
,,B008305,8/28/98,50,58,63,57.00,B008304,8/21/98,456,478,477,470.33
,,B008305,8/28/98,100,114,82,98.67,B008304,8/21/98,461,452,442,451.67
B008286,8/20/98,B008295,8/31/98,109,118,108,111.67,B008294,8/24/98,655,615,645,638.33
,,B008295,8/31/98,111,106,127,114.67,B008294,8/24/98,639,673,656,656.00
,,B008295,8/31/98,85,95,76,85.33,B008294,8/24/98,776,762,786,774.67
,,B008295,8/31/98,48,38,29,38.33,B008294,8/24/98,556,551,518,541.67
,,B008295,8/31/98,226,206,240,224.00,B008294,8/24/98,585,540,540,555.00
,,B008295,8/31/98,134,145,142,140.33,B008294,8/24/98,568,529,527,541.33
,,B008295,8/31/98,115,129,131,125.00,B008294,8/24/98,734,756,712,734.00
,,B008295,8/31/98,48,44,41,44.33,B008294,8/24/98,573,544,546,554.33
,,B008295,8/31/98,59,54,47,53.33,B008294,8/24/98,569,546,529,548.00
,,B008295,8/31/98,109,99,88,98.67,B008294,8/24/98,552,546,509,535.67
