Figure 5,210Po +/- DMSO,,Investigator for all is Bishayee,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B013639,10/16/98,B013648,10/26/98,175,157,153,161.67,B013647,10/19/98,587,576,569,577.33
Exp 2,,B013648,10/26/98,188,179,192,186.33,B013647,10/19/98,619,666,648,644.33
5A,,B013648,10/26/98,56,44,63,54.33,B013647,10/19/98,595,576,563,578.00
,,B013648,10/26/98,70,67,69,68.67,B013647,10/19/98,619,617,605,613.67
,,B013648,10/26/98,20,25,21,22.00,B013647,10/19/98,637,634,648,639.67
,,B013648,10/26/98,184,186,198,189.33,B013647,10/19/98,558,548,543,549.67
,,B013648,10/26/98,157,189,180,175.33,B013647,10/19/98,591,626,597,604.67
,,B013648,10/26/98,50,49,52,50.33,B013647,10/19/98,478,482,464,474.67
,,B013648,10/26/98,80,89,79,82.67,B013647,10/19/98,563,591,558,570.67
,,B013648,10/26/98,15,16,19,16.67,B013647,10/19/98,517,548,569,544.67
B013624,10/23/98,B013637,11/2/98,110,102,101,104.33,B013636,10/26/98,736,739,682,719.00
Exp 3,,B013637,11/2/98,103,90,95,96.00,B013636,10/26/98,706,741,744,730.33
5B,,B013637,11/2/98,121,117,107,115.00,B013636,10/26/98,798,771,767,778.67
,,B013637,11/2/98,20,23,27,23.33,B013636,10/26/98,775,785,798,786.00
,,B013637,11/2/98,107,123,118,116.00,B013636,10/26/98,791,773,759,774.33
,,B013637,11/2/98,125,120,129,124.67,B013636,10/26/98,899,892,902,897.67
,,B013637,11/2/98,100,115,92,102.33,B013636,10/26/98,654,648,633,645.00
,,B013637,11/2/98,131,126,116,124.33,B013636,10/26/98,907,948,928,927.67
,,B013637,11/2/98,30,27,24,27.00,B013636,10/26/98,982,992,989,987.67
,,B013637,11/2/98,68,64,59,63.67,B013636,10/26/98,991,961,961,971.00
