Figure 1,Dose Modification vs MEA Conc for various radionuclides,,,,,,All experiments investigator is Bishayee,,,,,,,
Radionuclide,Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
125IdU,B013344,5/14/98,B013354,5/25/98,85,82,87,84.67,B013353,5/18/98,480,490,499,489.67
circles,,,B013354,5/25/98,74,76,78,76.00,B013353,5/18/98,392,415,442,416.33
Exp 1,,,B013354,5/25/98,69,75,72,72.00,B013353,5/18/98,311,325,309,315.00
,,,B013354,5/25/98,58,46,52,52.00,B013353,5/18/98,375,390,392,385.67
,,,B013354,5/25/98,48,52,40,46.67,B013353,5/18/98,350,329,341,340.00
,,,B013354,5/25/98,56,44,50,50.00,B013353,5/18/98,425,419,433,425.67
,,,B013354,5/25/98,58,64,60,60.67,B013353,5/18/98,280,270,262,270.67
,,,B013354,5/25/98,194,160,184,179.33,B013353,5/18/98,355,342,352,349.67
,,,B013354,5/25/98,120,140,116,125.33,B013353,5/18/98,285,270,272,275.67
,,,B013354,5/25/98,65,62,63,63.33,B013353,5/18/98,475,490,411,458.67
Exp 2,B013334,6/15/98,B013342,6/26/98,110,119,105,111.33,B013341,6/19/98,753,759,734,748.67
,,,B013342,6/26/98,108,99,105,104.00,B013341,6/19/98,769,780,752,767.00
,,,B013342,6/26/98,90,97,106,97.67,B013341,6/19/98,832,856,842,843.33
,,,B013342,6/26/98,80,66,72,72.67,B013341,6/19/98,861,868,867,865.33
,,,B013342,6/26/98,70,60,64,64.67,B013341,6/19/98,766,708,704,726.00
,,,B013342,6/26/98,59,62,57,59.33,B013341,6/19/98,872,862,869,867.67
,,,B013342,6/26/98,70,75,65,70.00,B013341,6/19/98,869,875,892,878.67
,,,B013342,6/26/98,225,220,230,225.00,B013341,6/19/98,855,862,872,863.00
,,,B013342,6/26/98,204,209,199,204.00,B013341,6/19/98,924,908,904,912.00
,,,B013342,6/26/98,71,76,66,71.00,B013341,6/19/98,769,777,748,764.67
3H2O,B013609,7/20/98,B013617,7/31/98,212,198,225,211.67,B013616,7/24/98,734,740,724,732.67
triangles,,,B013617,7/31/98,196,177,168,180.33,B013616,7/24/98,863,851,861,858.33
Exp1,,,B013617,7/31/98,170,178,163,170.33,B013616,7/24/98,1000,1064,1032,1032.00
,,,B013617,7/31/98,125,131,120,125.33,B013616,7/24/98,825,857,867,849.67
,,,B013617,7/31/98,110,117,114,113.67,B013616,7/24/98,850,829,834,837.67
,,,B013617,7/31/98,116,122,110,116.00,B013616,7/24/98,764,771,779,771.33
,,,B013617,7/31/98,218,219,214,217.00,B013616,7/24/98,965,959,974,966.00
,,,B013617,7/31/98,52,60,44,52.00,B013616,7/24/98,487,499,495,493.67
,,,B013617,7/31/98,43,50,36,43.00,B013616,7/24/98,815,834,831,826.67
,,,B013617,7/31/98,27,25,23,25.00,B013616,7/24/98,448,454,421,441.00
Exp 2,B013598,7/23/98,B013607,8/3/98,150,165,149,154.67,B013606,7/27/98,815,815,834,821.33
,,,B013607,8/3/98,132,147,140,139.67,B013606,7/27/98,793,787,796,792.00
,,,B013607,8/3/98,126,135,130,130.33,B013606,7/27/98,720,738,738,732.00
,,,B013607,8/3/98,100,109,92,100.33,B013606,7/27/98,777,822,774,791.00
,,,B013607,8/3/98,90,93,86,89.67,B013606,7/27/98,856,821,799,825.33
,,,B013607,8/3/98,90,95,86,90.33,B013606,7/27/98,831,853,824,836.00
,,,B013607,8/3/98,188,195,180,187.67,B013606,7/27/98,653,679,670,667.33
,,,B013607,8/3/98,48,58,39,48.33,B013606,7/27/98,683,678,687,682.67
,,,B013607,8/3/98,30,39,22,30.33,B013606,7/27/98,779,759,768,768.67
,,,B013607,8/3/98,170,177,169,172.00,B013606,7/27/98,921,932,927,926.67
131IdU,B002200,8/24/98,B002208,9/4/98,123,113,136,124.00,B002207,8/27/98,456,432,441,443.00
diamonds,,,B002208,9/4/98,116,128,108,117.33,B002207,8/27/98,520,556,531,535.67
Exp 1,,,B002208,9/4/98,109,103,106,106.00,B002207,8/27/98,475,485,461,473.67
(no exp 2),,,B002208,9/4/98,92,76,86,84.67,B002207,8/27/98,572,536,559,555.67
,,,B002208,9/4/98,75,85,66,75.33,B002207,8/27/98,595,606,585,595.33
,,,B002208,9/4/98,99,80,88,89.00,B002207,8/27/98,499,512,526,512.33
,,,B002208,9/4/98,194,201,187,194.00,B002207,8/27/98,602,617,622,613.67
,,,B002208,9/4/98,29,35,24,29.33,B002207,8/27/98,566,555,545,555.33
,,,B002208,9/4/98,26,25,23,24.67,B002207,8/27/98,523,535,517,525.00
,,,B002208,9/4/98,120,129,136,128.33,B002207,8/27/98,495,505,485,495.00
210Po,B007778,1/15/99,B07786,1/25/99,176,162,155,164.33,B007785,1/18/99,505,478,482,488.33
squares,,,B07786,1/25/99,135,145,155,145.00,B007785,1/18/99,438,424,432,431.33
Exp 1,,,B07786,1/25/99,128,135,142,135.00,B007785,1/18/99,435,397,381,404.33
,,,B07786,1/25/99,110,127,97,111.33,B007785,1/18/99,379,394,422,398.33
,,,B07786,1/25/99,96,108,85,96.33,B007785,1/18/99,418,417,397,410.67
,,,B07786,1/25/99,44,46,39,43.00,B007785,1/18/99,365,345,313,341.00
,,,B07786,1/25/99,155,162,148,155.00,B007785,1/18/99,476,495,462,477.67
,,,B07786,1/25/99,63,70,56,63.00,B007785,1/18/99,478,439,449,455.33
,,,B07786,1/25/99,120,112,104,112.00,B007785,1/18/99,511,488,490,496.33
,,,B07786,1/25/99,77,68,60,68.33,B007785,1/18/99,467,427,399,431.00
Exp 2,B007768,1/19/99,B07776,1/29/99,152,169,159,160.00,B007775,1/22/99,345,335,376,352.00
,,,B07776,1/29/99,141,146,150,145.67,B007775,1/22/99,467,461,415,447.67
,,,B07776,1/29/99,133,138,143,138.00,B007775,1/22/99,380,384,377,380.33
,,,B07776,1/29/99,110,117,124,117.00,B007775,1/22/99,525,537,519,527.00
,,,B07776,1/29/99,92,100,107,99.67,B007775,1/22/99,474,452,491,472.33
,,,B07776,1/29/99,43,48,54,48.33,B007775,1/22/99,434,413,448,431.67
,,,B07776,1/29/99,36,42,50,42.67,B007775,1/22/99,465,445,466,458.67
,,,B07776,1/29/99,63,70,77,70.00,B007775,1/22/99,465,491,453,469.67
,,,B07776,1/29/99,116,126,107,116.33,B007775,1/22/99,449,459,467,458.33
,,,B07776,1/29/99,73,80,88,80.33,B007775,1/22/99,411,426,445,427.33
