Figure 2,3H2O +/- MEA,,All experiments investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B013585,7/27/98,B013596,8/7/98,136,142,151,143.00,B013595,7/31/98,580,574,545,566.33,
2A,,B013596,8/7/98,129,136,139,134.67,B013595,7/31/98,654,603,624,627.00,
,,B013596,8/7/98,109,119,100,109.33,B013595,7/31/98,599,614,603,605.33,
,,B013596,8/7/98,40,38,43,40.33,B013595,7/31/98,585,597,541,574.33,
,,B013596,8/7/98,130,136,143,136.33,B013595,7/31/98,655,606,630,630.33,
,,B013596,8/7/98,120,122,124,122.00,B013595,7/31/98,662,602,637,633.67,
,,B013596,8/7/98,129,120,119,122.67,B013595,7/31/98,618,633,581,610.67,
,,B013596,8/7/98,28,26,24,26.00,B013595,7/31/98,574,558,560,564.00,
,,B013596,8/7/98,68,64,61,64.33,B013595,7/31/98,597,583,575,585.00,
,,B013596,8/7/98,70,64,67,67.00,B013595,7/31/98,615,593,619,609.00,
B013773,7/30/98,B013583,8/10/98,150,142,139,143.67,B013582,8/3/98,696,698,700,698.00,
2B,,B013583,8/10/98,131,129,126,128.67,B013582,8/3/98,668,650,645,654.33,
,,B013583,8/10/98,116,101,108,108.33,B013582,8/3/98,632,630,625,629.00,
,,B013583,8/10/98,36,43,31,36.67,B013582,8/3/98,575,561,549,561.67,
,,B013583,8/10/98,185,190,201,192.00,B013582,8/3/98,718,708,709,711.67,
,,B013583,8/10/98,106,105,112,107.67,B013582,8/3/98,715,708,706,709.67,
,,B013583,8/10/98,92,119,99,103.33,B013582,8/3/98,740,737,726,734.33,
,,B013583,8/10/98,40,30,26,32.00,B013582,8/3/98,728,716,733,725.67,
,,B013583,8/10/98,32,27,37,32.00,B013582,8/3/98,685,693,688,688.67,
,,B013583,8/10/98,40,45,51,45.33,B013582,8/3/98,763,749,755,755.67,
