Figure 3,131IdU +/- MEA,,All experiments investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B002233,3/2/98,B002241,3/13/98,65,75,69,69.67,B002240,3/6/98,638,592,608,612.67,
exp 5 ,,B002241,3/13/98,60,72,74,68.67,B002240,3/6/98,661,713,639,671.00,
Fig 3C,,B002241,3/13/98,57,46,43,48.67,B002240,3/6/98,689,716,687,697.33,
,,B002241,3/13/98,160,179,163,167.33,B002240,3/6/98,622,592,590,601.33,
,,B002241,3/13/98,48,52,44,48.00,B002240,3/6/98,679,691,673,681.00,
,,B002241,3/13/98,87,89,106,94.00,B002240,3/6/98,606,581,573,586.67,
,,B002241,3/13/98,96,93,112,100.33,B002240,3/6/98,556,567,576,566.33,
,,B002241,3/13/98,25,27,29,27.00,B002240,3/6/98,744,748,720,737.33,
,,B002241,3/13/98,36,30,33,33.00,B002240,3/6/98,563,573,579,571.67,
,,B002241,3/13/98,79,70,72,73.67,B002240,3/6/98,633,595,609,612.33,
B002222,3/5/98,B002231,3/16/98,100,76,86,87.33,B002229,3/9/98,630,631,650,637.00,
exp 6 ,,B002231,3/16/98,96,92,94,94.00,B002229,3/9/98,777,791,796,788.00,
Fig 3B,,B002231,3/16/98,72,69,70,70.33,B002229,3/9/98,792,783,791,788.67,
,,B002231,3/16/98,36,34,32,34.00,B002229,3/9/98,680,656,654,663.33,
,,B002231,3/16/98,82,89,76,82.33,B002229,3/9/98,752,741,734,742.33,
,,B002231,3/16/98,140,132,152,141.33,B002229,3/9/98,783,765,743,763.67,
,,B002231,3/16/98,127,133,133,131.00,B002229,3/9/98,803,818,827,816.00,
,,B002231,3/16/98,42,34,50,42.00,B002229,3/9/98,833,828,832,831.00,
,,B002231,3/16/98,64,60,58,60.67,B002229,3/9/98,750,784,764,766.00,
,,B002231,3/16/98,21,22,20,21.00,B002229,3/9/98,854,828,823,835.00,
B002211,3/19/98,B002220,3/30/98,79,85,82,82.00,B002219,3/23/98,886,876,890,884.00,
Exp 7 ,,B002220,3/30/98,69,68,62,66.33,B002219,3/23/98,997,983,972,984.00,
fig 3A,,B002220,3/30/98,30,27,26,27.67,B002219,3/23/98,1051,1040,1047,1046.00,
,,B002220,3/30/98,99,92,82,91.00,B002219,3/23/98,1051,1023,1025,1033.00,
,,B002220,3/30/98,36,30,29,31.67,B002219,3/23/98,949,969,947,955.00,
,,B002220,3/30/98,130,117,121,122.67,B002219,3/23/98,1065,1066,1031,1054.00,
,,B002220,3/30/98,43,37,36,38.67,B002219,3/23/98,1012,1059,1064,1045.00,
,,B002220,3/30/98,65,62,57,61.33,B002219,3/23/98,1044,1016,976,1012.00,
,,B002220,3/30/98,26,24,21,23.67,B002219,3/23/98,1053,1057,1014,1041.33,
,,B002220,3/30/98,40,32,35,35.67,B002219,3/23/98,926,957,903,928.67,
