Figure4,125IdU +/- MEA,,All experiments investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B013370,4/27/98,B013381,5/8/98,58,54,56,56.00,B013380,5/1/98,589,529,512,543.33,
4A,,B013381,5/8/98,69,61,65,65.00,B013380,5/1/98,564,560,585,569.67,
,,B013381,5/8/98,39,33,37,36.33,B013380,5/1/98,627,605,593,608.33,
,,B013381,5/8/98,82,97,91,90.00,B013380,5/1/98,518,461,460,479.67,
,,B013381,5/8/98,58,45,46,49.67,B013380,5/1/98,695,667,695,685.67,
,,B013381,5/8/98,70,75,78,74.33,B013380,5/1/98,730,721,749,733.33,
,,B013381,5/8/98,69,68,66,67.67,B013380,5/1/98,621,599,613,611.00,
,,B013381,5/8/98,23,29,22,24.67,B013380,5/1/98,672,687,666,675.00,
,,B013381,5/8/98,38,40,30,36.00,B013380,5/1/98,576,523,533,544.00,
,,B013381,5/8/98,27,25,36,29.33,B013380,5/1/98,458,421,475,451.33,
B013356,5/11/98,B013368,5/22/98,59,55,57,57.00,B013366,5/15/98,298,252,244,264.67,
4B,,B013368,5/22/98,56,62,64,60.67,B013366,5/15/98,300,285,279,288.00,
,,B013368,5/22/98,33,42,36,37.00,B013366,5/15/98,370,338,351,353.00,
,,B013368,5/22/98,120,135,140,131.67,B013366,5/15/98,274,236,250,253.33,
,,B013368,5/22/98,38,45,50,44.33,B013366,5/15/98,286,232,221,246.33,
,,B013368,5/22/98,77,70,62,69.67,B013366,5/15/98,465,421,449,445.00,
,,B013368,5/22/98,65,63,71,66.33,B013366,5/15/98,474,384,416,424.67,
,,B013368,5/22/98,26,23,28,25.67,B013366,5/15/98,424,369,378,390.33,
,,B013368,5/22/98,35,42,49,42.00,B013366,5/15/98,235,211,205,217.00,
,,B013368,5/22/98,48,52,42,47.33,B013366,5/15/98,348,333,317,332.67,
