Figure4,210Po +/- MEA,,All experiments investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B007812,11/10/98,B007821,11/20/98,145,159,152,152.00,B007820,11/13/98,484,471,465,473.33,
5A,,B007821,11/20/98,135,147,140,140.67,B007820,11/13/98,520,490,507,505.67,
Exp 1,,B007821,11/20/98,58,50,66,58.00,B007820,11/13/98,539,541,535,538.33,
,,B007821,11/20/98,23,24,22,23.00,B007820,11/13/98,583,570,541,564.67,
,,B007821,11/20/98,11,12,14,12.33,B007820,11/13/98,541,548,567,552.00,
,,B007821,11/20/98,162,169,170,167.00,B007820,11/13/98,488,481,445,471.33,
,,B007821,11/20/98,159,149,161,156.33,B007820,11/13/98,533,584,591,569.33,
,,B007821,11/20/98,38,44,40,40.67,B007820,11/13/98,432,432,426,430.00,
,,B007821,11/20/98,56,66,52,58.00,B007820,11/13/98,644,669,626,646.33,
,,B007821,11/20/98,39,38,34,37.00,B007820,11/13/98,649,624,638,637.00,
B007799,11/20/98,B007810,11/30/98,129,121,135,128.33,B007808,11/23/98,501,524,474,499.67,
5B,,B007810,11/30/98,112,139,109,120.00,B007808,11/23/98,475,472,441,462.67,
Exp 2,,B007810,11/30/98,107,99,92,99.33,B007808,11/23/98,437,458,424,439.67,
,,B007810,11/30/98,50,57,42,49.67,B007808,11/23/98,616,630,622,622.67,
,,B007810,11/30/98,123,130,116,123.00,B007808,11/23/98,367,334,338,346.33,
,,B007810,11/30/98,145,155,139,146.33,B007808,11/23/98,447,441,432,440.00,
,,B007810,11/30/98,121,132,135,129.33,B007808,11/23/98,530,511,520,520.33,
,,B007810,11/30/98,57,48,46,50.33,B007808,11/23/98,552,549,564,555.00,
,,B007810,11/30/98,120,109,99,109.33,B007808,11/23/98,512,490,537,513.00,
,,B007810,11/30/98,15,19,13,15.67,B007808,11/23/98,484,466,452,467.33,
B007795,12/8/98,B007796,12/17/98,135,145,147,142.33,B007795,no date,371,349,361,360.33,
5C,,B007796,12/17/98,122,130,119,123.67,B007795,no date,355,359,372,362.00,
Exp 3,,B007796,12/17/98,31,27,35,31.00,B007795,no date,340,325,322,329.00,
,,B007796,12/17/98,20,24,18,20.67,B007795,no date,309,322,330,320.33,
,,B007796,12/17/98,123,134,114,123.67,B007795,no date,237,250,245,244.00,
,,B007796,12/17/98,165,152,158,158.33,B007795,no date,319,333,323,325.00,
,,B007796,12/17/98,137,129,141,135.67,B007795,no date,366,342,353,353.67,
,,B007796,12/17/98,58,62,54,58.00,B007795,no date,497,480,495,490.67,
,,B007796,12/17/98,25,27,29,27.00,B007795,no date,445,460,432,445.67,
,,B007796,12/17/98,19,22,17,19.33,B007795,no date,421,409,415,415.00,
