Figure 2,Acute and Chronic 137Cs-irradiation of Clusters,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B007927,5/7/98,B07933,5/18/98,65,60,62,62.33,B007932,5/11/98,511,506,469,495.33,
solid diamonds,,B07933,5/18/98,59,67,72,66.00,B007932,5/11/98,460,417,418,431.67,
Acute,,B07933,5/18/98,64,58,61,61.00,B007932,5/11/98,432,452,463,449.00,
,,B07933,5/18/98,52,47,62,53.67,B007932,5/11/98,501,487,482,490.00,
,,B07933,5/18/98,42,40,38,40.00,B007932,5/11/98,428,420,444,430.67,
,,B07933,5/18/98,41,31,32,34.67,B007932,5/11/98,422,407,427,418.67,
,,B07933,5/18/98,28,30,27,28.33,B007932,5/11/98,398,402,419,406.33,
,,B07933,5/18/98,25,29,24,26.00,B007932,5/11/98,414,408,441,421.00,
,,B07933,5/18/98,88,84,84,85.33,B007932,5/11/98,403,405,413,407.00,
,,B07933,5/18/98,65,62,60,62.33,B007932,5/11/98,455,429,427,437.00,
B007936,10/13/98,B07944,10/23/98,73,83,75,77.00,B007942,10/16/98,485,502,498,495.00,
open diamonds,,B07944,10/23/98,24,26,29,26.33,B013959,10/16/98,497,462,444,467.67,
Chronic,,B07944,10/23/98,39,37,43,39.67,B013959,10/16/98,411,399,436,415.33,
,,B07944,10/23/98,58,49,67,58.00,B013959,10/16/98,428,409,425,420.67,
,,B07944,10/23/98,61,60,68,63.00,B013959,10/16/98,389,389,374,384.00,
,,B07944,10/23/98,68,69,78,71.67,B013959,10/16/98,495,472,458,475.00,
