Figure 4,Chemotoxicity of Lindane,,,Investigator is Bishayee,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B008129,2/1/99,B008140,2/12/99,120,135,118,124.33,B008139,2/5/99,672,677,708,685.67,
,,B008140,2/12/99,125,137,113,125.00,B008139,2/5/99,758,734,726,739.33,
,,B008140,2/12/99,115,120,129,121.33,B008139,2/5/99,759,777,757,764.33,
,,B008140,2/12/99,114,104,124,114.00,B008139,2/5/99,752,745,733,743.33,
,,B008140,2/12/99,112,118,123,117.67,B008139,2/5/99,675,690,691,685.33,
B008119,2/11/99,B008127,2/22/99,130,149,142,140.33,B008126,2/15/99,711,745,735,730.33,
,,B008127,2/22/99,131,137,143,137.00,B008126,2/15/99,852,837,860,849.67,
,,B008127,2/22/99,123,131,138,130.67,B008126,2/15/99,811,799,789,799.67,
,,B008127,2/22/99,128,134,140,134.00,B008126,2/15/99,735,745,760,746.67,
,,B008127,2/22/99,125,130,136,130.33,B008126,2/15/99,809,811,835,818.33,
B008107,2/22/99,B008118,3/5/99,145,165,153,154.33,B008117,2/26/99,833,750,777,786.67,
,,B008118,3/5/99,140,147,153,146.67,B008117,2/26/99,781,737,741,753.00,
,,B008118,3/5/99,139,148,157,148.00,B008117,2/26/99,717,758,759,744.67,
,,B008118,3/5/99,123,130,137,130.00,B008117,2/26/99,785,760,747,764.00,
,,B008118,3/5/99,109,118,128,118.33,B008117,2/26/99,750,706,715,723.67,
,,,,,,,,,,,,,,
