Figure 5,3HdThd + Lindane,,Investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B008129,2/1/99,8140,2/12/99,141,150,160,150.33,B008139,2/5/99,700,677,662,679.67,
,,8140,2/12/99,219,225,232,225.33,B008139,2/5/99,704,685,674,687.67,
,,8140,2/12/99,37,42,33,37.33,B008139,2/5/99,663,698,681,680.67,
,,8140,2/12/99,42,46,50,46.00,B008139,2/5/99,661,662,650,657.67,
,,8140,2/12/99,50,57,65,57.33,B008139,2/5/99,693,671,681,681.67,
B008119,2/11/99,8127,2/22/99,115,126,137,126.00,B008126,2/15/99,799,805,811,805.00,
,,8127,2/22/99,17,20,24,20.33,B008126,2/15/99,760,741,752,751.00,
,,8127,2/22/99,29,35,41,35.00,B008126,2/15/99,715,721,726,720.67,
,,8127,2/22/99,62,70,54,62.00,B008126,2/15/99,760,775,745,760.00,
,,8127,2/22/99,70,79,62,70.33,B008126,2/15/99,801,812,823,812.00,
B008107,2/22/99,8118,3/5/99,145,154,164,154.33,B008117,2/26/99,693,670,660,674.33,
,,8118,3/5/99,67,75,84,75.33,B008117,2/26/99,678,645,676,666.33,
,,8118,3/5/99,72,88,56,72.00,B008117,2/26/99,713,704,716,711.00,
,,8118,3/5/99,58,66,50,58.00,B008117,2/26/99,622,610,608,613.33,
,,8118,3/5/99,66,75,56,65.67,B008117,2/26/99,703,703,731,712.33,
