Figure 6,3HdThd 50% +/- Lindane +/-DMSO,,,Investigator is Bishayee,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B008243,12/28/98,,,,,,,B008252,1/1/99,518,550,569,545.67,
From Fig 3,,B008253,1/8/99,99,89,91,93.00,B008252,1/1/99,482,500,501,494.33,
closed triangles,,B008253,1/8/99,80,74,68,74.00,B008252,1/1/99,458,485,510,484.33,
,,B008253,1/8/99,65,71,59,65.00,B008252,1/1/99,541,483,488,504.00,
,,B008253,1/8/99,40,48,57,48.33,B008252,1/1/99,531,525,523,526.33,
,,B008253,1/8/99,39,34,37,36.67,B008252,1/1/99,609,657,652,639.33,
,,B008253,1/8/99,28,26,23,25.67,B008252,1/1/99,506,524,485,505.00,
,,B008253,1/8/99,102,110,92,101.33,B008252,1/1/99,432,440,428,433.33,
,,B008253,1/8/99,33,47,40,40.00,B008252,1/1/99,497,453,507,485.67,
,,B008253,1/8/99,90,84,79,84.33,B008252,1/1/99,453,475,508,478.67,
B008233,1/11/99,B008242,1/22/99,145,139,121,135.00,B008241,1/15/99,488,482,478,482.67,
open triangles,,B008242,1/22/99,129,119,137,128.33,B008241,1/15/99,510,472,463,481.67,
,,B008242,1/22/99,130,135,124,129.67,B008241,1/15/99,517,505,506,509.33,
,,B008242,1/22/99,125,115,109,116.33,B008241,1/15/99,468,458,455,460.33,
,,B008242,1/22/99,95,101,107,101.00,B008241,1/15/99,528,527,524,526.33,
,,B008242,1/22/99,85,92,78,85.00,B008241,1/15/99,622,648,609,626.33,
,,B008242,1/22/99,59,69,78,68.67,B008241,1/15/99,442,422,432,432.00,
,,B008242,1/22/99,49,58,67,58.00,B008241,1/15/99,467,438,438,447.67,
,,B008242,1/22/99,38,44,33,38.33,B008241,1/15/99,481,452,522,485.00,
,,B008242,1/22/99,100,95,106,100.33,B008241,1/15/99,487,516,482,495.00,
B008095,2/15/99,B008104,2/26/99,129,131,120,126.67,B008103,2/19/99,645,677,655,659.00,
+Lin,,B008104,2/26/99,115,109,117,113.67,B008103,2/19/99,611,620,637,622.67,
closed diamonds,,B008104,2/26/99,111,115,120,115.33,B008103,2/19/99,677,689,667,677.67,
,,B008104,2/26/99,103,113,94,103.33,B008103,2/19/99,707,699,701,702.33,
,,B008104,2/26/99,89,94,100,94.33,B008103,2/19/99,635,649,617,633.67,
,,B008104,2/26/99,66,75,85,75.33,B008103,2/19/99,690,681,678,683.00,
,,B008104,2/26/99,56,63,70,63.00,B008103,2/19/99,660,670,652,660.67,
,,B008104,2/26/99,53,58,64,58.33,B008103,2/19/99,601,622,634,619.00,
,,B008104,2/26/99,54,56,53,54.33,B008103,2/19/99,640,656,654,650.00,
,,B008104,2/26/99,38,46,55,46.33,B008103,2/19/99,685,695,690,690.00,
B008085,2/18/99,B008094,3/1/99,145,137,129,137.00,B008093,2/22/99,760,747,730,745.67,
+Lin,,B008094,3/1/99,121,115,135,123.67,B008093,2/22/99,745,744,736,741.67,
open diamonds,,B008094,3/1/99,116,125,134,125.00,B008093,2/22/99,690,701,685,692.00,
,,B008094,3/1/99,108,114,119,113.67,B008093,2/22/99,712,722,735,723.00,
,,B008094,3/1/99,98,107,117,107.33,B008093,2/22/99,747,765,742,751.33,
,,B008094,3/1/99,80,90,99,89.67,B008093,2/22/99,675,665,681,673.67,
,,B008094,3/1/99,78,84,90,84.00,B008093,2/22/99,640,655,631,642.00,
,,B008094,3/1/99,61,70,78,69.67,B008093,2/22/99,672,662,652,662.00,
,,B008094,3/1/99,65,75,56,65.33,B008093,2/22/99,719,725,707,717.00,
,,B008094,3/1/99,37,27,48,37.33,B008093,2/22/99,790,811,795,798.67,
B008211,3/8/99,B008220,3/19/99,150,142,149,147.00,B008219,3/12/99,620,635,645,633.33,
 + DMSO,,B008220,3/19/99,135,149,120,134.67,B008219,3/12/99,590,575,585,583.33,
closed squares,,B008220,3/19/99,135,145,126,135.33,B008219,3/12/99,560,550,541,550.33,
,,B008220,3/19/99,105,115,127,115.67,B008219,3/12/99,595,570,583,582.67,
,,B008220,3/19/99,95,104,114,104.33,B008219,3/12/99,630,609,607,615.33,
,,B008220,3/19/99,77,84,94,85.00,B008219,3/12/99,590,615,580,595.00,
,,B008220,3/19/99,58,67,77,67.33,B008219,3/12/99,635,650,669,651.33,
,,B008220,3/19/99,45,53,61,53.00,B008219,3/12/99,610,645,637,630.67,
,,B008220,3/19/99,47,35,23,35.00,B008219,3/12/99,575,562,548,561.67,
,,B008220,3/19/99,85,92,77,84.67,B008219,3/12/99,520,525,535,526.67,
B008200,3/18/99,B008210,3/29/99,165,151,149,155.00,B008209,3/22/99,610,635,590,611.67,
 + DMSO,,B008210,3/29/99,145,157,150,150.67,B008209,3/22/99,495,535,545,525.00,
open squares,,B008210,3/29/99,155,136,146,145.67,B008209,3/22/99,570,552,535,552.33,
,,B008210,3/29/99,128,135,142,135.00,B008209,3/22/99,625,619,607,617.00,
,,B008210,3/29/99,104,116,127,115.67,B008209,3/22/99,499,521,539,519.67,
,,B008210,3/29/99,91,98,107,98.67,B008209,3/22/99,577,565,572,571.33,
,,B008210,3/29/99,63,69,77,69.67,B008209,3/22/99,537,555,542,544.67,
,,B008210,3/29/99,53,61,70,61.33,B008209,3/22/99,609,612,592,604.33,
,,B008210,3/29/99,26,32,40,32.67,B008209,3/22/99,572,559,567,566.00,
,,B008210,3/29/99,114,122,106,114.00,B008209,3/22/99,562,585,585,577.33,
,,,,,,,,,,,,,,
