Figure 7,3HdThd 100% +/- Lindane +/-DMSO,,,,Investigator is Bishayee,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B001669,1/25/99,B001681,2/5/99,150,135,139,141.33,B001680,1/29/99,664,644,696,668.00,
+/- Lin,,B001681,2/5/99,129,140,131,133.33,B001680,1/29/99,716,726,721,721.00,
,,B001681,2/5/99,107,100,98,101.67,B001680,1/29/99,651,675,664,663.33,
,,B001681,2/5/99,111,109,107,109.00,B001680,1/29/99,643,681,636,653.33,
,,B001681,2/5/99,35,40,29,34.67,B001680,1/29/99,700,690,717,702.33,
,,B001681,2/5/99,18,20,16,18.00,B001680,1/29/99,618,618,657,631.00,
,,B001681,2/5/99,13,13,14,13.33,B001680,1/29/99,684,691,653,676.00,
,,B001681,2/5/99,40,47,32,39.67,B001680,1/29/99,536,505,557,532.67,
,,B001681,2/5/99,146,157,167,156.67,B001680,1/29/99,642,626,633,633.67,
,,B001681,2/5/99,14,16,15,14.00,B001680,1/29/99,541,558,569,556.00,
1659,2/25/99,B001668,3/8/99,155,160,149,154.67,B001667,3/1/99,640,666,685,663.67,
+/- DMSO +/- LIN,,B001668,3/8/99,145,139,152,145.33,B001667,3/1/99,701,722,735,719.33,
,,B001668,3/8/99,21,20,17,19.33,B001667,3/1/99,735,742,722,733.00,
,,B001668,3/8/99,23,26,21,23.33,B001667,3/1/99,760,750,742,750.67,
,,B001668,3/8/99,2,2,1,1.67,B001667,3/1/99,775,790,769,778.00,
,,B001668,3/8/99,174,185,170,176.33,B001667,3/1/99,711,729,731,723.67,
,,B001668,3/8/99,169,172,177,172.67,B001667,3/1/99,699,719,698,705.33,
,,B001668,3/8/99,25,27,29,27.00,B001667,3/1/99,765,777,759,767.00,
,,B001668,3/8/99,26,30,35,30.33,B001667,3/1/99,745,755,761,753.67,
,,B001668,3/8/99,2.00,3,3,2.67,B001667,3/1/99,762,772,760,764.67,
,,B001668,3/8/99,182,169,178,176.33,B001667,3/1/99,685,672,669,675.33,
,,B001668,3/8/99,177,161,163,167.00,B001667,3/1/99,701,735,723,719.67,
,,B001668,3/8/99,26,31,37,31.33,B001667,3/1/99,795,780,776,783.67,
,,B001668,3/8/99,22,26,29,25.67,B001667,3/1/99,740,722,729,730.33,
,,B001668,3/8/99,2,2,2,2.00,B001667,3/1/99,811,788,792,797.00,
B001649,3/1/99,B001656,3/12/99,160,155,168,161.00,,,,,,,
+/- DMSO +/- LIN,,B001656,3/12/99,152,157,161,156.67,,,,,,,
,,B001656,3/12/99,17,22,27,22.00,B001657,3/5/99,480,495,478,484.33,
,,B001656,3/12/99,23,30,38,30.33,B001657,3/5/99,450,477,458,461.67,
,,B001656,3/12/99,3,2,4,3.00,B001657,3/5/99,575,589,567,577.00,
,,B001656,3/12/99,156,142,150,149.33,,,,,,,
,,B001656,3/12/99,143,149,145,145.67,,,,,,,
,,B001656,3/12/99,18,25,30,24.33,B001657,3/5/99,435,449,429,437.67,
,,B001656,3/12/99,14,19,25,19.33,B001657,3/5/99,445,455,462,454.00,
,,B001656,3/12/99,3,4,5,4.00,B001657,3/5/99,540,559,547,548.67,
,,B001656,3/12/99,160,167,172,166.33,,,,,,,
,,B001656,3/12/99,151,149,165,155.00,,,,,,,
,,B001656,3/12/99,20,24,28,24.00,B001657,3/5/99,560,550,542,550.67,
,,B001656,3/12/99,23,27,35,28.33,B001657,3/5/99,610,625,609,614.67,
,,B001656,3/12/99,3,3,2,2.67,B001657,3/5/99,675,685,687,682.33,
,,,,,,,,,,,,,,
