Figure 3 32P +/- DMSO,,,All experiments: Investigator is Howell,,,,,,,,,,
start Bates,Start Date,Colonies,date,COL1,COL2,COL3,Average,Coulter,date,COU1,COU2,COU3,Average
B013527,6/27/95,B013533,6/27/95,72,75,61,69.33,B013529,No Date,505,474,,489.50
,,B013533,6/27/95,98,79,82,86.33,B013529,No Date,524,477,,500.50
,,B013533,6/27/95,30,20,42,30.67,B013529,No Date,495,474,,484.50
,,B013533,6/27/95,107,112,106,108.33,B013529,No Date,467,458,,462.50
,,B013533,6/27/95,37,35,44,38.67,B013529,No Date,446,497,,471.50
,,B013533,6/27/95,112,119,89,106.67,B013529,No Date,451,448,,449.50
,,B013533,6/27/95,112,109,96,105.67,B013529,No Date,515,485,,500.00
,,B013533,6/27/95,30,32,25,29.00,B013529,No Date,469,458,,463.50
,,B013533,6/27/95,24,26,30,26.67,B013529,No Date,490,466,,478.00
,,B013533,6/27/95,25,18,31,24.67,B013529,No Date,441,435,,438.00
B013534,7/21/95,B013540,7/24/95,50,56,84,63.33,B013540,7/24/95,495,480,,487.50
,,B013540,7/24/95,57,37,55,49.67,B013540,7/24/95,481,508,,494.50
,,B013540,7/24/95,32,29,34,31.67,B013540,7/24/95,523,568,,545.50
,,B013540,7/24/95,109,126,135,123.33,B013540,7/24/95,545,511,,528.00
,,B013540,7/24/95,63,58,62,61.00,B013540,7/24/95,493,546,,519.50
,,B013540,7/24/95,57,52,49,52.67,B013540,7/24/95,498,541,,519.50
,,B013540,7/24/95,55,45,54,51.33,B013540,7/24/95,532,521,,526.50
,,B013540,7/24/95,153,163,153,156.33,B013540,7/24/95,476,448,,462.00
,,B013540,7/24/95,263,253,267,261.00,B013540,7/24/95,484,440,,462.00
,,B013540,7/24/95,38,23,35,32.00,B013540,7/24/95,451,402,,426.50
13545,9/25/95,B013546,9/25/95,81,90,72,81.00,B013546,9/25/95,471,503,,487.00
,,B013546,9/25/95,109,93,111,104.33,B013546,9/25/95,593,612,,602.50
,,B013546,9/25/95,65,69,66,66.67,B013546,9/25/95,563,576,,569.50
,,B013546,9/25/95,52,61,30,47.67,B013546,9/25/95,543,558,,550.50
,,B013546,9/25/95,132,127,149,136.00,B013546,9/25/95,564,544,,554.00
,,B013546,9/25/95,128,123,116,122.33,B013546,9/25/95,580,562,,571.00
,,B013546,9/25/95,110,104,99,104.33,B013546,9/25/95,542,591,,566.50
,,B013546,9/25/95,78,78,82,79.33,B013546,9/25/95,521,511,,516.00
,,B013546,9/25/95,17,19,14,16.67,B013546,9/25/95,536,578,,557.00
,,B013546,9/25/95,153,145,152,150.00,,,,,,
,,B013546,9/25/95,14,13,12,13.00,B013546,9/25/95,556,571,,563.50
13551,9/29/95,B013553,10/11/92(sic),41,36,50,42.33,B013552,9/29/95,493,490,,491.50
,,B013553,10/11/92(sic),49,45,31,41.67,B013552,9/29/95,507,517,,512.00
,,B013553,10/11/92(sic),25,28,30,27.67,B013552,9/29/95,517,520,,518.50
,,B013553,10/11/92(sic),14,19,20,17.67,B013552,9/29/95,591,588,,589.50
,,B013553,10/11/92(sic),142,147,157,148.67,,,,,,
,,B013553,10/11/92(sic),51,60,67,59.33,B013552,9/29/95,537,529,,533.00
,,B013553,10/11/92(sic),81,81,82,81.33,B013552,9/29/95,505,538,,521.50
,,B013553,10/11/92(sic),89,93,97,93.00,B013552,9/29/95,543,541,,542.00
,,B013553,10/11/92(sic),41,57,48,48.67,B013552,9/29/95,492,500,,496.00
,,B013553,10/11/92(sic),74,71,70,71.67,B013552,9/29/95,426,458,,442.00
,,B013553,10/11/92(sic),53,73,54,60.00,B013552,9/29/95,481,453,,467.00
