Figure 5 131IdU +/- DMSO,,,All experiments investigator Bishayee,,,,,,,,,,,
start Bates,Start Date,Colonies,date,COL1,COL2,COL3,Average,Coulter,date,COU1,COU2,COU3,Average,
B008425,11/13/97,B008433,11/24/97,115,98,109,107.33,B008431,11/17/97,857,855,870,860.67,
,,B008433,11/24/97,87,95,98,93.33,B008431,11/17/97,832,859,860,850.33,
,,B008433,11/24/97,41,31,38,36.67,B008431,11/17/97,827,814,755,798.67,
,,B008433,11/24/97,146,155,178,159.67,B008431,11/17/97,854,852,882,862.67,
,,B008433,11/24/97,112,105,104,107.00,B008431,11/17/97,721,733,760,738.00,
,,B008433,11/24/97,117,143,136,132.00,B008431,11/17/97,859,845,827,843.67,
,,B008433,11/24/97,117,133,114,121.33,B008431,11/17/97,884,872,796,850.67,
,,B008433,11/24/97,38,57,53,49.33,B008431,11/17/97,910,880,893,894.33,
,,B008433,11/24/97,170,171,176,172.33,B008431,11/17/97,836,865,809,836.67,
,,B008433,11/24/97,102,108, ,105.00,B008431,11/17/97,735,755,754,748.00,
B008448,12/4/97,B008458,12/15/97,68,55,61,61.33,B008457,No Date,498,504,532,511.33,
,,B008458,12/15/97,66,61,65,64.00,B008457,No Date,769,790,711,756.67,
,,B008458,12/15/97,39,36,38,37.67,B008457,No Date,799,785,765,783.00,
,,B008458,12/15/97,53,50,47,50.00,B008457,No Date,630,645,659,644.67,
,,B008458,12/15/97,100,96,98,98.00,B008457,No Date,669,659,660,662.67,
,,B008458,12/15/97,62,68,77,69.00,B008457,No Date,765,745,730,746.67,
,,B008458,12/15/97,58,58,59,58.33,B008457,No Date,650,672,721,681.00,
,,B008458,12/15/97,30,35,37,34.00,B008457,No Date,814,805,767,795.33,
,,B008458,12/15/97,46,48,44,46.00,B008457,No Date,732,719,674,708.33,
,,B008458,12/15/97,83,95,87,88.33,B008457,No Date,814,769,742,775.00,
B008461,12/8/97,B008468,12/19/97,68,68,67,67.67,No Coulters,,,,,,
,,B008468,12/19/97,57,62,64,61.00,,,,,,,
,,B008468,12/19/97,40,32,38,36.67,,,,,,,
,,B008468,12/19/97,50,48,52,50.00,,,,,,,
,,B008468,12/19/97,112,100,93,101.67,,,,,,,
,,B008468,12/19/97,53,64,65,60.67,,,,,,,
,,B008468,12/19/97,58,49,57,54.67,,,,,,,
,,B008468,12/19/97,27,28,30,28.33,,,,,,,
,,B008468,12/19/97,40,38,36,38.00,,,,,,,
,,B008468,12/19/97,82,78,83,81.00,,,,,,,
