Figure 6,3HTdR +/- DMSO ,,Not clear who was the investigator.  May have been Howell or Dr Li,,,,,,,,,,,,,,
start Bates,Start Date,Colonies,date,COL1,COL2,COL3,Average,Coulter,date,COU1,COU2,COU3,Average,,,,
B014078,6/24/96,B014086,no date,43,55,34,44.00,B014086,no date,518,543,513,524.67,,,,
Exp 6,,B014086,,,,,,B014086,no date,584,624,628,612.00,,,,
,,B014086,no date,106,87,103,98.67,B014086,no date,608,578,582,589.33,,,,
,,B014086,no date,66,60,64,63.33,B014086,no date,504,521,530,518.33,,,,
,,B014086,no date,37,36,41,38.00,B014086,no date,485,497,523,501.67,,,,
,,B014086,no date,43,50,45,46.00,B014086,no date,538,555,485,526.00,,,,
,,B014086,no date,56,45,59,53.33,B014086,no date,487,467,474,476.00,,,,
,,B014086,no date,114,119,101,111.33,B014086,no date,604,619,615,612.67,,,,
,,B014086,no date,63,67,60,63.33,B014086,no date,580,550,535,555.00,,,,
,,B014086,no date,26,29,27,27.33,B014086,no date,457,411,418,428.67,,,,
B014059,7/19/96,B014067,no date,40,58,44,47.33,B014067,no date,896,916,959,923.67,,,,
Exp 7,,B014067,no date,40,44,45,43.00,B014067,no date,622,648,643,637.67,,,,
,,B014067,no date,197,209,197,201.00,B014067,no date,579,559,605,581.00,,,,
,,B014067,no date,30,29,40,33.00,B014067,no date,692,639,669,666.67,,,,
,,B014067,no date,34,30,29,31.00,B014067,no date,661,652,659,657.33,,,,
,,B014067,no date,46,58,49,51.00,B014067,no date,686,644,704,678.00,,,,
,,B014067,no date,46,57,46,49.67,B014067,no date,639,649,642,643.33,,,,
,,B014067,no date,114,107,122,114.33,B014067,no date,510,545,496,517.00,,,,
,,B014067,no date,32,32,29,31.00,B014067,no date,660,614,624,632.67,,,,
,,B014067,no date,19,14,16,16.33,B014067,no date,599,600,520,573.00,,,,
B014048,7/29/96,B014055,7/30/96,34,48,51,44.33,B014054,no date,788,735,684,735.67,,,,
Exp 8,,B014055,7/30/96,36,38,29,34.33,B014054,no date,650,738,715,701.00,,,,
,,B014055,7/30/96,34,41,30,35.00,B014054,no date,707,678,743,709.33,,,,
,,B014055,7/30/96,114,129,123,122.00,B014054,no date,683,654,631,656.00,,,,
,,B014055,7/30/96,75,85,96,85.33,B014054,no date,703,721,648,690.67,,,,
,,B014055,7/30/96,45,44,55,48.00,B014054,no date,503,499,452,484.67,,,,
,,B014055,7/30/96,31,39,26,32.00,B014054,no date,795,824,791,803.33,,,,
,,B014055,7/30/96,26,37,38,33.67,B014054,no date,551,479,493,507.67,,,,
,,B014055,7/30/96,90,89,96,91.67,B014054,no date,473,474,503,483.33,,,,
,,B014055,7/30/96,54,55,61,56.67,B014054,no date,510,561,579,550.00,,,,
