Figure 7,125IdU +/- DMSO Investigator Howell,,,,,,,,,,,,,,,,
start Bates,Start Date,Colonies,date,COL1,COL2,COL3,Average,Coulter,date,COU1,COU2,COU3,Average,,,,
B013482,11/30/95,B013484,12/11/95,125,123,126,124.67,B013484,12/4/95,696,698,662,685.33,,,,
Exp 1,,B013484,12/11/95,189,166,200,185.00,B013484,12/4/95,931,971,889,930.33,,,,
,,B013484,12/11/95,131,120,108,119.67,B013484,12/4/95,969,927,897,931.00,,,,
,,B013484,12/11/95,62,59,62,61.00,B013484,12/4/95,859,929,842,876.67,,,,
,,B013484,12/11/95,53,54,49,52.00,B013484,12/4/95,741,738,,739.50,,,,
,,B013484,12/11/95,177,178,194,183.00,B013484,12/4/95,956,950,,953.00,,,,
,,B013484,12/11/95,108,108,93,103.00,B013484,12/4/95,987,1021,,1004.00,,,,
,,B013484,12/11/95,154,172,157,161.00,B013484,12/4/95,964,1005,,984.50,,,,
,,B013484,12/11/95,50,49,44,47.67,B013484,12/4/95,1016,1036,,1026.00,,,,
,,B013484,12/11/95,26,30,26,27.33,B013484,12/4/95,792,735,,763.50,,,,
B013492,1/11/96,B013494,1/23/96,94,84,79,85.67,B013493,1/12/96,936,959,958,951.00,,,,
Exp 2,,B013494,1/23/96,86,66,84,78.67,B013493,1/12/96,1012,988,959,986.33,,,,
,,B013494,1/23/96,26,27,42,31.67,B013493,1/12/96,986,943,1019,982.67,,,,
,,B013494,1/23/96,51,53,53,52.33,B013493,1/12/96,940,888,916,914.67,,,,
,,B013494,1/23/96,20,18,12,16.67,B013493,1/12/96,874,896,869,879.67,,,,
,,B013494,1/23/96,37,57,56,50.00,B013493,1/12/96,901,894,899,898.00,,,,
,,B013494,1/23/96,59,83,71,71.00,B013493,1/12/96,947,977,984,969.33,,,,
,,B013494,1/23/96,87,91,108,95.33,B013493,1/12/96,876,868,893,879.00,,,,
,,B013494,1/23/96,32,32,36,33.33,B013493,1/12/96,932,984,916,944.00,,,,
,,B013494,1/23/96,45,48,37,43.33,B013493,1/12/96,900,862,895,885.67,,,,
,,B013494,1/23/96,19,12,17,16.00,B013493,1/13/96,694,764,718,725.33,,,,
,,B013494,1/23/96,50,42,43,45.00,B013493,1/13/96,767,872,767,802.00,,,,
,,,,,,,,B013493,1/13/96,685,690,626,667.00,,,,
,,,,,,,,B013493,1/13/96,682,667,596,648.33,,,,
,,,,,,,,B013493,1/13/96,529,560,544,544.33,,,,
,,,,,,,,B013493,1/13/96,585,675,598,619.33,,,,
,,,,,,,,B013493,1/13/96,676,674,709,686.33,,,,
,,,,,,,,B013493,1/13/96,604,608,591,601.00,,,,
,,,,,,,,B013493,1/13/96,641,638,603,627.33,,,,
,,,,,,,,B013493,1/13/96,516,514,520,516.67,,,,
B013499,2/1/96,B013501,2/12/96,44,57,54,51.67,B013500,no date,684,600,641,641.67,,,,
Exp 3,,B013501,2/12/96,48,49,50,49.00,B013500,no date,570,665,613,616.00,,,,
,,B013501,2/12/96,9,12,7,9.33,B013500,no date,602,631,565,599.33,,,,
,,B013501,2/12/96,17,25,20,20.67,B013500,no date,555,515,602,557.33,,,,
,,B013501,2/12/96,7,6,6,6.33,B013500,no date,487,571,521,526.33,,,,
,,B013501,2/12/96,65,61,67,64.33,B013500,no date,581,503,550,544.67,,,,
,,B013501,2/12/96,5,8,3,5.33,B013500,no date,604,536,611,583.67,,,,
,,B013501,2/12/96,13,8,9,10.00,B013500,no date,537,497,491,508.33,,,,
,,B013501,2/12/96,2,4,1,2.33,B013500,no date,532,578,491,533.67,,,,
,,,,,,,,B013500,no date,499,498,466,487.67,,,,
,,,,,,,,B013500,no date,516,469,504,496.33,,,,
,,,,,,,,B013500,no date,502,459,504,488.33,,,,
,,,,,,,,B013500,no date,425,381,404,403.33,,,,
,,,,,,,,B013500,no date,351,393,367,370.33,,,,
,,,,,,,,B013500,no date,364,349,376,363.00,,,,
,,,,,,,,B013500,no date,402,402,400,401.33,,,,
,,,,,,,,B013500,no date,459,450,392,433.67,,,,
,,,,,,,,B013500,no date,384,463,392,413.00,,,,
,,,,,,,,B013500,no date,424,371,407,400.67,,,,
,,,,,,,,B013500,no date,370,388,343,367.00,,,,
