('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 279, 89.279970215934469, 89.279970215934483, 2.270372735647894e-15, array([403, 407, 483, 348, 347, 481, 324, 381, 359, 496], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 338, 150.79876400154495, 150.79876400154501, 6.0251013318982204e-28, array([570, 513, 608, 421, 377, 610, 443, 502, 470, 664], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 120, 47.141868512110726, 47.141868512110733, 3.6929270146121283e-07, array([186, 168, 208, 142, 140, 226, 150, 152, 161, 201], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 183, 51.661643344097598, 51.661643344097591, 5.237481015893483e-08, array([292, 288, 338, 222, 234, 333, 258, 253, 259, 310], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 22, 19.824742268041238, 19.824742268041234, 0.019025328371324073, array([41, 26, 34, 26, 29, 33, 19, 26, 17, 40], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 15, 21.722222222222225, 21.722222222222225, 0.0098022760697356066, array([34, 46, 44, 37, 32, 36, 24, 28, 26, 53], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 10, 5.7210884353741491, 5.72108843537415, 0.76747573775663003, array([16, 15, 19,  8, 12, 15, 14, 15, 18, 15], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 278, 106.99156118143461, 106.99156118143461, 6.0166488339938816e-19, array([458, 384, 486, 339, 325, 487, 322, 378, 364, 486], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 351, 120.72151409810738, 120.72151409810739, 9.5091599992691166e-22, array([520, 555, 623, 414, 421, 618, 428, 493, 487, 619], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 95, 71.432525951557096, 71.432525951557082, 7.9694888617711016e-12, array([184, 173, 230, 154, 129, 199, 137, 145, 151, 232], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 184, 56.534266236096165, 56.534266236096158, 6.2046293377611086e-09, array([300, 266, 312, 217, 241, 335, 267, 264, 243, 342], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 24, 5.8728522336769764, 5.8728522336769755, 0.75257328709463434, array([30, 32, 29, 25, 21, 29, 31, 31, 26, 37], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 23, 11.333333333333332, 11.333333333333332, 0.25355072973231085, array([37, 36, 36, 40, 26, 48, 36, 29, 29, 43], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 12, 9.8027210884353728, 9.8027210884353746, 0.36669100733822202, array([13, 17, 18, 15,  8, 18, 11, 17, 10, 20], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 243, 102.18639861007695, 102.18639861007695, 5.6794724379839265e-18, array([421, 441, 493, 330, 309, 487, 350, 379, 352, 467], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 356, 121.5867130166087, 121.58671301660873, 6.3232180685088233e-22, array([542, 516, 612, 438, 426, 636, 448, 464, 461, 635], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 130, 35.019607843137258, 35.019607843137251, 5.9110686742980057e-05, array([212, 159, 194, 154, 143, 199, 140, 164, 168, 201], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 180, 75.551130247578044, 75.551130247578044, 1.2299418260550943e-12, array([278, 273, 337, 222, 223, 318, 238, 275, 257, 366], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 25, 13.226804123711339, 13.226804123711339, 0.15260929925629144, array([37, 26, 29, 18, 31, 35, 20, 34, 26, 35], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 27, 24.611111111111107, 24.611111111111111, 0.0034328663561276384, array([43, 28, 46, 31, 29, 41, 26, 29, 31, 56], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 6, 15.244897959183669, 15.244897959183675, 0.084424987536858787, array([ 9, 20, 23, 11, 10, 18, 10, 12, 15, 19], dtype=int64), 147)
